player_id,last_season,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,foot,height_in_cm,market_value,Highest_value
355860,2017,Maarten Peijnenburg,Netherlands,Netherlands,10/01/1997,Defender,Right,186,293000,293000
326221,2017,Menno Heus,Netherlands,Netherlands,17/12/1995,Goalkeeper,Right,188,,68000
36500,2017,Ola Toivonen,Sweden,Sweden,03/07/1986,Attack,Right,189,360000,8100000
495486,2017,Jordan Sebban,France,France,06/01/1997,Midfield,Right,175,180000,180000
148754,2017,Somalia,Brazil,Brazil,28/09/1988,Midfield,Both,181,450000,2700000
193153,2017,Fahad Al Muwallad,Saudi Arabia,Saudi Arabia,14/09/1994,Attack,Right,167,900000,2610000
49347,2017,Mitchell Langerak,Australia,Australia,22/08/1988,Goalkeeper,Right,193,810000,2250000
54217,2017,Raul Fernandez,Spain,Spain,13/03/1988,Goalkeeper,Right,195,180000,1350000
223068,2017,Tana,Spain,Spain,20/09/1990,Attack,Left,169,360000,3150000
153238,2017,Jonathan Viera,Spain,Spain,21/10/1989,Attack,Right,171,1800000,9000000
531062,2017,Fabio Gonzalez,Spain,Spain,12/02/1997,Midfield,Right,176,360000,360000
5957,2017,Alberto Aquilani,Italy,Italy,07/07/1984,Midfield,Right,186,,16200000
